ProjectIdentifier,staSeq,locationName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityTime,ActivityTimeZoneCodetimezone,ActivityRelativeDepthName,ActivityTopDepthMeasureValue,ActivityTopDepthMeasureUnitCode,ActivityBottomDepthMeasureValue,ActivityBottomDepthMeasureUnitCode,SampleCollectionMethodIdentifier,SampleCollectionEquipmentName,SampleCollectionEquipmentCommentText,ActivityConductingOrganizationText,ActivityCommentText,LaboratoryName,ActivityYlat,ActivityXlong,ActivityhorizCollectMethod,ActivityhorizRefDatum,LabAccession,CharacteristicName,MethodSpeciationName,ResultDetectionConditionText,ResultMeasureValue,ResultMeasureUnitCode,ResultValueTypeName,ResultSampleFractionText,ResultStatusIdentifier,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodContext,AnalysisStartDate,DetectionQuantitationTypeName,DetectionQuantitationLimitMeasureValue,DetectionLimitMeasureUnitCode,ResultComment,rstLastUpdateDate,actLastUpdateDate
benthicAlgABM,14302,Milli-Q,14302-QCTB-20200619-083600-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-06-19,08:36:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,200120-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2020-07-13,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 15:09:45","2022-12-29 14:24:47"
TMDL,14302,Milli-Q,14302-QCTB-20200903-093000-CHEM-0.1m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-09-03,09:30:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200247-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2020-09-21,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 15:09:45","2022-12-29 14:24:47"
TMDL,14302,Milli-Q,14302-QCTB-20200921-071500-CHEM-0.1m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-09-21,07:15:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200273-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 15:09:46","2022-12-29 14:24:47"
TMDL,14302,Milli-Q,14302-QCTB-20200923-073000-CHEM-0.1m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-09-23,07:30:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200274-001,Chloride,None,NULL,0.4,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 15:09:46","2022-12-29 14:24:47"
TMDL,14302,Milli-Q,14302-QCTB-20200925-065000-CHEM-0.1m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-09-25,06:50:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200275-001,Chloride,None,NULL,0.3,ppm,Actual,Total,Final,300.0,USEPA,2020-10-01,"Method Detection Level",0.2,ppm,"*Result value below PQL.","2022-12-29 15:09:46","2022-12-29 14:24:47"
macroInvertABM,14302,Milli-Q,14302-QCTB-20201020-074500-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-10-20,07:45:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,200346-001,Chloride,None,NULL,0.9,ppm,Actual,Total,Final,300.0,USEPA,2020-11-03,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 15:09:46","2022-12-29 14:24:47"
macroInvertABM,14302,Milli-Q,14302-QCTB-20201026-073000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-10-26,07:30:00,EDT,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,200346-016,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2020-11-03,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 15:09:46","2022-12-29 14:24:47"
lakesABM,14302,Milli-Q,14302-QCTB-20201110-073000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2020-11-10,07:30:00,EST,Surface,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,200372-001,Chloride,None,NULL,0.4,ppm,Actual,Total,Final,300.0,USEPA,2020-12-07,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:55:57","2022-12-29 14:24:47"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20210616-085000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-06-16,08:50:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Check Hobo and periphyton collect. WT",CESE,NULL,NULL,NULL,NULL,210232-001,Chloride,None,NULL,0.6,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:55:57","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20210617-082400-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-06-17,08:24:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210233-001,Chloride,None,NULL,0.4,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:07:27","2022-12-29 13:43:59"
fishABM,14302,Milli-Q,14302-QCTB-20210624-070400-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-06-24,07:04:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210233-006,Chloride,None,NULL,0.6,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:07:27","2022-12-29 13:43:59"
fishABM,14302,Milli-Q,14302-QCTB-20210701-070800-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-01,07:08:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210233-012,Chloride,None,NULL,0.8,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:07:27","2022-12-29 13:43:59"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20210702-092000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-02,09:20:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Check Hobo and periphyton collect. WT",CESE,NULL,NULL,NULL,NULL,210231-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-07-14,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:55:58","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20210708-085300-CHEM-0.5m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-08,08:53:00,EDT,Other,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210301-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-09,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:07:27","2022-12-29 13:43:59"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20210715-090000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-15,09:00:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,"Check Hobo and periphyton collect. WT",CESE,NULL,NULL,NULL,NULL,210300-002,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-08,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:55:58","2022-12-29 14:24:47"
lakesABM,14302,Milli-Q,14302-QCTB-20210715-0900-CHEM-0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2021-07-15,09:00:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,210299-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-08,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:55:58","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20210716-085000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-16,08:50:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210301-004,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-09,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:07:27","2022-12-29 13:43:59"
fishABM,14302,Milli-Q,14302-QCTB-20210722-074300-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-22,07:43:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210301-008,Chloride,None,NULL,0.2,ppm,Actual,Total,Final,300.0,USEPA,2021-09-09,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:07:27","2022-12-29 13:43:59"
fishABM,14302,Milli-Q,14302-QCTB-20210729-070700-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-07-29,07:07:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210301-014,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-09,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:07:27","2022-12-29 13:43:59"
fishABM,14302,Milli-Q,14302-QCTB-20210805-071900-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2021-08-05,07:19:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,210301-020,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-09-09,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:07:27","2022-12-29 13:43:59"
macroInvertABM,14302,Milli-Q,14302-QCTB-20211006-0745-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2021-10-06,07:45:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,NAD83,210443-014,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-11-01,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:55:59","2022-12-29 14:24:47"
macroInvertABM,14302,Milli-Q,14302-QCTB-20211012-0800-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2021-10-12,08:00:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,NAD83,210443-029,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2021-11-01,"Method Detection Level",0.2,ppm,NULL,"2022-12-29 14:55:59","2022-12-29 14:24:47"
lakesABM,14302,Milli-Q,14302-QCTB-20211102-0722-CHEM-0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2021-11-02,07:22:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,210471-004,Chloride,None,NULL,0.8,ppm,Actual,Total,Final,300.0,USEPA,2021-11-11,"Method Detection Level",0.2,ppm,"Result value below PQL.","2022-12-29 14:55:59","2022-12-29 14:24:47"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20220524-083000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-05-24,08:30:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,220133-001,Chloride,None,NULL,0.2,ppm,Actual,Total,Final,300.0,USEPA,2022-09-02,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-10-30 11:23:50","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20220616-091200-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-06-16,09:12:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,"Trip blank",CESE,NULL,NULL,NULL,NULL,220166-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2022-09-03,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-11-05 08:23:49","2023-01-04 12:59:27"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20220623-080400-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-06-23,08:04:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,220167-001,Chloride,None,NULL,2.5,ppm,Actual,Total,Final,300.0,USEPA,2022-09-07,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-11-05 08:23:49","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20220629-093000-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-06-29,09:30:00,EDT,OTHER,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,"Trip blank",CESE,NULL,NULL,NULL,NULL,220166-003,Chloride,None,NULL,0.3,ppm,Actual,Total,Final,300.0,USEPA,2022-09-03,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. Result value below PQL.","2023-11-05 08:23:49","2023-01-04 12:59:27"
benthicAlgABM,14302,Milli-Q,14302-QCTB-20220713-091500-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-07-13,09:15:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,220213-001,Chloride,None,NULL,0.3,ppm,Actual,Total,Final,300.0,USEPA,2022-09-07,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. Result value below PQL.","2023-11-05 08:23:49","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20220715-080600-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-07-15,08:06:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,"Trip blank",CESE,NULL,NULL,NULL,NULL,220225-001,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2022-09-15,"Method Detection Level",0.2,ppm,NULL,"2023-11-05 08:23:49","2023-01-04 12:59:27"
fishABM,14302,Milli-Q,14302-QCTB-20220804-080600-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-08-04,08:06:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,"Trip blank",CESE,NULL,NULL,NULL,NULL,220225-003,Chloride,None,NULL,1.1,ppm,Actual,Total,Final,300.0,USEPA,2022-09-15,"Method Detection Level",0.2,ppm,"Result value below PQL.","2023-11-05 08:23:49","2023-01-04 12:59:27"
lakesABM,14302,Milli-Q,14302-QCTB-20220816-0742-CHEM-0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-08-16,07:42:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220224-017,Chloride,None,NULL,0.4,ppm,Actual,Total,Final,300.0,USEPA,2022-09-08,"Method Detection Level",0.2,ppm,"Result value below PQL.","2023-11-05 08:23:49","2022-12-29 14:24:47"
lakesABM,14302,Milli-Q,14302-QCTB-20220824-0730-CHEM-0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-08-24,07:30:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220289-002,Chloride,None,NULL,0.2,ppm,Actual,Total,Final,300.0,USEPA,2022-09-30,"Method Detection Level",0.2,ppm,NULL,"2023-12-07 14:41:15","2022-12-29 14:24:47"
fishABM,14302,Milli-Q,14302-QCTB-20220902-080600-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Deionized Water",2022-09-02,08:06:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",NULL,ctdeepWplrAbm,"Trip blank",CESE,NULL,NULL,NULL,NULL,220287-001,Chloride,None,NULL,0.3,ppm,Actual,Total,Final,300.0,USEPA,2022-09-30,"Method Detection Level",0.2,ppm,"Result value below PQL. Use as reference only.","2023-12-07 14:41:15","2023-01-04 12:59:27"
macroInvertABM,14302,Milli-Q,14302-QCTB-20220930-0930-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-09-30,09:30:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220336-005,Chloride,None,NULL,0.6,ppm,Actual,Total,Final,300.0,USEPA,2022-10-26,"Method Detection Level",0.2,ppm,"Result value below PQL. Use as reference only.","2023-12-07 14:53:11","2022-12-29 14:24:47"
macroInvertABM,14302,Milli-Q,14302-QCTB-20221012-0800-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-10-12,08:00:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220336-020,Chloride,None,"Not Detected",NULL,NULL,Actual,Total,Final,300.0,USEPA,2022-10-26,"Method Detection Level",0.2,ppm,NULL,"2023-12-07 14:53:11","2022-12-29 14:24:47"
macroInvertABM,14302,Milli-Q,14302-QCTB-20221019-0800-CHEM-0.0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-10-19,08:00:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220337-007,Chloride,None,NULL,1.8,ppm,Actual,Total,Final,300.0,USEPA,2022-10-26,"Method Detection Level",0.2,ppm,"Result value below PQL. Use as reference only.","2023-12-07 14:53:11","2022-12-29 14:24:47"
lakesABM,14302,Milli-Q,14302-QCTB-20221103-0815-CHEM-0m,"Quality Control Sample-Trip Blank",Water,"Surface Water",2022-11-03,08:15:00,EDT,Other,0.00,m,0.00,m,grabSampleSurfaceChemistry,"Water Bottle",Milli-Q,ctdeepWplrAbm,milli-Q,CESE,41.802014,-72.661188,GPS-Unspecified,WGS84,220363-001,Chloride,None,NULL,0.9,ppm,Actual,Total,Final,300.0,USEPA,2022-11-25,"Method Detection Level",0.2,ppm,"Result value below PQL. Use as reference only.","2023-12-07 16:44:58","2022-12-29 14:24:47"
TMDL,14308,"Muddy River",14308-SR-20200903-122000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-03,12:20:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200247-006,Chloride,None,NULL,36.7,ppm,Actual,Total,Final,300.0,USEPA,2020-09-21,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14308,"Muddy River",14308-SR-20200921-095800-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-21,09:58:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200273-006,Chloride,None,NULL,44.6,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14308,"Muddy River",14308-SR-20200923-100000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-23,10:00:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200274-006,Chloride,None,NULL,45.6,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14308,"Muddy River",14308-SR-20200925-095000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-25,09:50:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200275-006,Chloride,None,NULL,45.5,ppm,Actual,Total,Final,300.0,USEPA,2020-10-01,"Method Detection Level",0.2,ppm,*,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14310,"Muddy River",14310-SR-20200903-123500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-03,12:35:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200247-007,Chloride,None,NULL,38,ppm,Actual,Total,Final,300.0,USEPA,2020-09-21,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14310,"Muddy River",14310-QCFR-20200921-101000-CHEM-0.1m,"Quality Control Sample-Field Replicate",Water,"Surface Water",2020-09-21,10:10:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200273-012,Chloride,None,NULL,46.8,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14310,"Muddy River",14310-SR-20200921-101000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-21,10:10:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200273-007,Chloride,None,NULL,46.6,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14310,"Muddy River",14310-SR-20200923-101500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-23,10:15:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200274-007,Chloride,None,NULL,47.5,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,14310,"Muddy River",14310-SR-20200925-100000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-25,10:00:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200275-007,Chloride,None,NULL,48,ppm,Actual,Total,Final,300.0,USEPA,2020-10-01,"Method Detection Level",0.2,ppm,*,"2022-12-28 16:40:09","2021-10-27 11:29:48"
macroInvertABM,14314,"Natchaug River",14314-SR-20171016-120000-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2017-10-16,12:00:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,170306-005,Chloride,None,NULL,23.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-11-01,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
fishABM,14316,"Naugatuck River",14316-SR-20160818-090500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-08-18,09:05:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160314-001,Chloride,None,NULL,65,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-08-30,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
macroInvertABM,14316,"Naugatuck River",14316-SR-20161005-133500-CHEM-0.5m,Sample-Routine,Water,"Surface Water",2016-10-05,13:35:00,EDT,Surface,0.50,m,0.50,m,grabSampleSurfaceChemistry,"Water Bottle","Plastic Bottle",ctdeepWplrAbm,NULL,CESE,NULL,NULL,NULL,NULL,160372-012,Chloride,None,NULL,93.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-10-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
