SITEID,STA_SEQ,ID,Station_Name,EVALSTATUS,TNT,SurveyID,SurveyName,XlongDD,YlatDD,WGT,ALK,NH3,CA,Chloride,Nitrate,Nitrate_Nitrite,Nitrite,OrthoP,TN,TP,TS,TSS,MMI,BugAssess,LeastDisturbed,DiatomH,DiatomL,DiatomI,BugBCG,FishBCG
58.08,,,,Tidal,NonTarget,,2001-2005,-72.4774,41.2814,11.83216,,,,,,,,,,,,,,,,,,,,
58.09,,,,Tidal,NonTarget,,2001-2005,-72.4723,41.2717,11.83216,,,,,,,,,,,,,,,,,,,,
58.1,,,,Tidal,NonTarget,,2001-2005,-72.4212,41.2834,11.83216,,,,,,,,,,,,,,,,,,,,
59.01,14851,S14851_2001_2005,East Branch Byram River,CMPLTE,Target,1,2001-2005,-73.6817,41.0985,170.49171,45.5,0.003,19750,29.35,0.076,0.077,0.0025,0.008,0.3565,0.014,121,2.5,,,,0.091059603,0.062913907,5.913978495,,BCG5
6.01,,,,NoAcc,Target,,2001-2005,-72.4415,42.0291,212.23579,,,,,,,,,,,,,,,,,,,,
6.02,,,,LowGrad,Target,,2001-2005,-72.4512,42.0001,212.23579,,,,,,,,,,,,,,,,,,,,
6.03,,,,NoAcc,Target,,2001-2005,-72.3068,42.0312,212.23579,,,,,,,,,,,,,,,,,,,,
6.04,,,,LowGrad,Target,,2001-2005,-72.4709,42.0187,212.23579,,,,,,,,,,,,,,,,,,,,
6.05,,,,LowGrad,Target,,2001-2005,-72.46,42.007,212.23579,,,,,,,,,,,,,,,,,,,,
6.06,14998,S14998_2001_2005,Still Brook,CMPLTE,Target,1,2001-2005,-72.3118,42.0192,212.23579,15,0.011,4128.333333,11.23333333,0.0217,0.0217,0.003,0.00383,0.264666667,0.0157,52.33333333,3.666666667,69.85,Pass,1,0.08,0.363333333,1.804511278,BCG4,BCG5
60.01,14202,S14202_2001_2005,Five Mile River,CMPLTE,Target,1,2001-2005,-73.4798,41.138,125.81446,37.06666667,0.0767,21400,59.6,0.523666667,0.54,0.0163,0.152666667,0.991333333,0.211,192.6666667,1.333333333,28.1,Fail,,0.535,0.013333333,9.756838906,BCG5,BCG5
61.01,,,,Tidal,NonTarget,,2001-2005,-73.2628,41.1261,10.70512,,,,,,,,,,,,,,,,,,,,
61.02,,,,Tidal,NonTarget,,2001-2005,-73.2629,41.139,10.70512,,,,,,,,,,,,,,,,,,,,
61.03,,,,Tidal,NonTarget,,2001-2005,-73.3133,41.1225,10.70512,,,,,,,,,,,,,,,,,,,,
61.04,,,,Tidal,NonTarget,,2001-2005,-73.2371,41.1539,10.70512,,,,,,,,,,,,,,,,,,,,
61.05,,,,Tidal,NonTarget,,2001-2005,-73.298,41.1259,10.70512,,,,,,,,,,,,,,,,,,,,
61.06,,,,Tidal,NonTarget,,2001-2005,-73.2376,41.1499,10.70512,,,,,,,,,,,,,,,,,,,,
61.07,,,,Tidal,NonTarget,,2001-2005,-73.2633,41.1289,10.70512,,,,,,,,,,,,,,,,,,,,
61.08,,,,Tidal,NonTarget,,2001-2005,-73.297,41.128,10.70512,,,,,,,,,,,,,,,,,,,,
61.09,,,,Tidal,NonTarget,,2001-2005,-73.2579,41.123,10.70512,,,,,,,,,,,,,,,,,,,,
61.1,,,,Tidal,NonTarget,,2001-2005,-73.275,41.142,10.70512,,,,,,,,,,,,,,,,,,,,
7.01,,,,LT1mi2,NonTarget,,2001-2005,-72.1994,42.0074,205.52993,,,,,,,,,,,,,,,,,,,,
7.02,,,,Pond,NonTarget,,2001-2005,-72.1279,41.9987,205.52993,,,,,,,,,,,,,,,,,,,,
7.03,,,,Pond,NonTarget,,2001-2005,-72.1347,41.9886,205.52993,,,,,,,,,,,,,,,,,,,,
7.04,,,,Pond,NonTarget,,2001-2005,-72.2419,42.0021,205.52993,,,,,,,,,,,,,,,,,,,,
7.05,,,,Pond,NonTarget,,2001-2005,-72.2264,42.0317,205.52993,,,,,,,,,,,,,,,,,,,,
7.06,14866,S14866_2001_2005,Stickney Hill Brook,CMPLTE,Target,1,2001-2005,-72.218,41.9832,205.52993,7,0.003,3310,7.5,0.511,0.513,0.002,0.003,0.764,0.008,70,2,77.39,Pass,1,0.026490066,0.11589404,1.860465116,BCG2,BCG3
8.01,,,,LT1mi2,NonTarget,,2001-2005,-71.853,42.024,218.38548,,,,,,,,,,,,,,,,,,,,
8.02,14999,S14999_2001_2005,North Running Brook,CMPLTE,Target,1,2001-2005,-71.969,41.9658,218.38548,20.66666667,0.0847,9503.333333,17.73333333,1.319333333,1.33,0.0117,0.0547,1.662666667,0.0987,106.3333333,4.666666667,,,,0.633333333,0.168333333,7.9002079,,BCG3
9.01,,,,Pond,NonTarget,,2001-2005,-71.8219,42.018,194.87714,,,,,,,,,,,,,,,,,,,,
9.02,14863,S14863_2001_2005,Rocky Brook,CMPLTE,Target,1,2001-2005,-71.8022,42.0134,194.87714,2,0.003,1370,4.25,0.003,0.003,0.003,0.0015,0.0255,0.0065,43,2,52.29,Pass,1,0.003305785,0.591735537,0.055555556,BCG3,BCG1
CTS06621-0001,,,,LT1mi2,NonTarget,,2006-2010,-71.8458,41.3959,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0002,14456,S14456_2006_2010,Steele Brook,CMPLTE,Target,2,2006-2010,-73.0702,41.581,156.3568317,34.75,0.0125,16675,53.9825,0.78325,0.78775,0.0045,0.01175,0.95,0.0245,178.6666667,3,,Fail,,,,,,BCG4
CTS06621-0003,,,,LT1mi2,NonTarget,,2006-2010,-73.3107,41.1861,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0004,15989,S15989_2006_2010,Crystal Lake Brook,CMPLTE,Target,2,2006-2010,-72.3649,41.9614,156.3568317,10,0.003,4390,22.77,0.059,0.059,0.003,0.001,0.232,0.009,80,3,,Pass,,,,,,
CTS06621-0005,,,,LT1mi2,NonTarget,,2006-2010,-72.3592,41.4311,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0006,16022,S16022_2006_2010,Weekeepeemee River,CMPLTE,Target,2,2006-2010,-73.2271,41.5867,156.3568317,30,0.016,9660,14.93,0.116,0.116,0.003,0.013,0.334,0.012,92,2,,Pass,,,,,,
CTS06621-0007,15528,S15528_2006_2010,Whiting River,CMPLTE,Target,2,2006-2010,-73.2683,42.0181,156.3568317,62,0.003,15700,7.18,0.152,0.152,0.003,0.004,0.407,0.019,114,2,,Pass,,,,,,
CTS06621-0008,15990,S15990_2006_2010,Spice Brook,CMPLTE,Target,2,2006-2010,-72.3913,41.8474,156.3568317,15,0.003,,63.01,0.141,0.141,0.003,0.002,0.303,0.008,178,10,,Pass,,,,,,
CTS06621-0009,,,,LT1mi2,NonTarget,,2006-2010,-72.5814,41.437,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0010,,,,LT1mi2,NonTarget,,2006-2010,-73.1831,41.4083,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0011,15991,S15991_2006_2010,Stratton Brook,CMPLTE,Target,2,2006-2010,-72.8458,41.8603,156.3568317,34,0.008,15100,23.55,1.036,1.04,0.004,0.009,1.135,0.017,126,4,,Pass,,,,,,BCG4
CTS06621-0012,,,,Pond,NonTarget,,2006-2010,-72.7614,41.7402,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0013,,,,LT1mi2,NonTarget,,2006-2010,-72.9368,41.4725,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0014,,,,Tidal,NonTarget,,2006-2010,-73.1118,41.1862,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0015,,,,LT1mi2,NonTarget,,2006-2010,-73.4655,41.8608,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0016,15988,S15988_2006_2010,Bebbington Brook,CMPLTE,Target,2,2006-2010,-72.1539,41.8428,156.3568317,28.504,0.00983,8450,12.86725,0.21925,0.221583333,0.00333,0.04775,0.507833333,0.0812,95.33333333,9.333333333,,Pass,,,,,,
CTS06621-0017,,,,NoWade,NonTarget,,2006-2010,-71.8028,41.4169,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0018,,,,Pond,NonTarget,,2006-2010,-73.0393,41.6509,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0019,,,,LT1mi2,NonTarget,,2006-2010,-73.0465,41.7573,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0020,,,,LT1mi2,NonTarget,,2006-2010,-72.7791,41.8738,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0021,,,,LT1mi2,NonTarget,,2006-2010,-72.3691,41.5322,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0022,,,,Pond,NonTarget,,2006-2010,-73.2472,41.6567,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0023,16004,S16004_2006_2010,Nickelmine Brook,CMPLTE,Target,2,2006-2010,-73.1728,41.8344,156.3568317,73,0.016,16300,7.43,0.015,0.015,0.003,0.003,0.196,0.006,100,9,,Pass,,,,,,BCG4
CTS06621-0024,,,,Pond,NonTarget,,2006-2010,-72.4779,41.6391,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0025,,,,LT1mi2,NonTarget,,2006-2010,-72.5517,41.39,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0026,,,,NoWade,NonTarget,,2006-2010,-73.4606,41.6194,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0027,15992,S15992_2006_2010,Fox Brook,CMPLTE,Target,2,2006-2010,-72.8612,42.0262,156.3568317,8,0.005,2830,10.54,0.156,0.16,0.004,0.005,0.19,0.011,52,7,,Pass,1,,,,,BCG2
CTS06621-0028,16013,S16013_2006_2010,Ekonk Brook,CMPLTE,Target,2,2006-2010,-71.8627,41.691,156.3568317,14,0.003,5240,10,0.072,0.072,0.003,0.014,0.366,0.029,68,2,,Pass,,,,,,BCG4
CTS06621-0029,15987,S15987_2006_2010,Quinnipiac River,CMPLTE,Target,2,2006-2010,-72.8198,41.4843,156.3568317,83,0.14,34100,45.07,2.85,2.89,0.04,0.294,2.9,0.366,244,5,,Fail,,,,,,BCG4
CTS06621-0030,,,,Tidal,NonTarget,,2006-2010,-73.5447,41.0429,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0031,,,,Pond,NonTarget,,2006-2010,-71.9382,41.9557,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0032,,,,LT1mi2,NonTarget,,2006-2010,-72.0804,41.7486,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0033,,,,LT1mi2,NonTarget,,2006-2010,-72.4065,41.3513,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0034,15997,S15997_2006_2010,Town Farm Brook,CMPLTE,Target,2,2006-2010,-73.391,41.5571,156.3568317,141,0.0173,35033.33333,40.11333333,0.118666667,0.120666667,0.003,0.006,0.302333333,0.0143,255.3333333,26.33333333,,Ambiguous,,,,,,
CTS06621-0035,,,,LT1mi2,NonTarget,,2006-2010,-72.9367,41.7649,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0036,,,,LowGrad,Target,,2006-2010,-72.6887,41.9609,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0037,15999,S15999_2006_2010,Silver Brook,CMPLTE,Target,2,2006-2010,-73.0048,41.2662,156.3568317,60,0.014,,28.82,1.25,1.25,0.003,0.022,1.368,0.039,166,11,,Fail,,,,,,BCG5
CTS06621-0038,15996,S15996_2006_2010,Fenn Brook,CMPLTE,Target,2,2006-2010,-73.3145,41.5631,156.3568317,41,0.01,12800,33,0.648,0.648,0.003,0.016,0.667,0.014,134,2,,Pass,,,,,,BCG3
CTS06621-0039,15138,S15138_2006_2010,Bantam River,CMPLTE,Target,2,2006-2010,-73.1842,41.7301,156.3568317,60,0.012,13900,13.57,0.013,0.013,0.003,0.002,0.246,0.008,106,2,,Pass,,,,,,BCG4
CTS06621-0040,,,,Pond,NonTarget,,2006-2010,-72.511,41.7479,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0041,,,,Swamp,NonTarget,,2006-2010,-72.7089,41.3472,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0042,,,,Pond,NonTarget,,2006-2010,-73.5265,41.4863,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0043,,,,LT1mi2,NonTarget,,2006-2010,-73.3154,42.0332,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0044,,,,LT1mi2,NonTarget,,2006-2010,-71.825,41.7939,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0045,16002,S16002_2006_2010,Pemberwick Brook,CMPLTE,Target,2,2006-2010,-73.6602,41.0298,156.3568317,49,0.021,21250,28.1,0.505,0.51,0.005,0.054,0.815,0.079,172,3,,Fail,,,,,,
CTS06621-0046,16025,S16025_2006_2010,Muddy Brook,CMPLTE,Target,2,2006-2010,-73.3292,41.1319,156.3568317,46,0.03,20700,48.61,1.77,1.78,0.01,0.023,1.939,0.029,220,2,,Fail,,,,,,
CTS06621-0047,,,,Swamp,NonTarget,,2006-2010,-71.8644,41.9126,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0048,14277,S14277_2006_2010,Little River,CMPLTE,Target,2,2006-2010,-72.0569,41.631,156.3568317,15.83333333,0.0157,6228.333333,11.36833333,0.349166667,0.3515,0.00333,0.00283,0.502833333,0.013,67.33333333,2,,Pass,1,,,,,BCG4
CTS06621-0049,,,,Pond,NonTarget,,2006-2010,-72.081,41.4443,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0050,15576,S15576_2006_2010,Lee Brook,CMPLTE,Target,2,2006-2010,-73.2293,41.4336,156.3568317,30,0.011,14400,17.97,0.932,0.932,0.003,0.008,0.993,0.011,116,8,,Pass,,,,,,BCG3
CTS06621-0051,,,,LT1mi2,NonTarget,,2006-2010,-72.9805,41.6778,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0052,16062,S16062_2006_2010,Mill Brook,CMPLTE,Target,2,2006-2010,-72.6577,41.8584,156.3568317,87.5,0.0205,35650,68.95,0.9765,0.985,0.0085,0.0225,1.287,0.042,328,11.5,,Fail,,,,,,
CTS06621-0053,,,,LT1mi2,NonTarget,,2006-2010,-72.6231,41.5288,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0054,,,,LT1mi2,NonTarget,,2006-2010,-72.9498,41.4775,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0055,16063,S16063_2006_2010,Marshepaug River,CMPLTE,Target,2,2006-2010,-73.2663,41.7794,156.3568317,55.66666667,0.0117,15333.33333,14.63333333,0.056,0.075,0.00267,0.00467,0.302,0.015,104.6666667,3,,Pass,,,,,,BCG3
CTS06621-0056,,,,LT1mi2,NonTarget,,2006-2010,-72.6667,41.6656,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0057,,,,LT1mi2,NonTarget,,2006-2010,-72.7688,41.4262,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0058,,,,LT1mi2,NonTarget,,2006-2010,-73.1521,41.2642,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0059,,,,LT1mi2,NonTarget,,2006-2010,-73.4332,41.9814,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0060,,,,LT1mi2,NonTarget,,2006-2010,-72.3386,41.5767,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0061,,,,LT1mi2,NonTarget,,2006-2010,-73.5029,41.3603,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0062,16064,S16064_2006_2010,Umpawaug Pond Brook,CMPLTE,Target,2,2006-2010,-73.4443,41.3169,156.3568317,105,0.02125,56500,16.05,0.055,0.056,0.0025,0.01425,0.323,0.0205,190.5,13.5,,Pass,1,,,,,
CTS06621-0063,,,,LT1mi2,NonTarget,,2006-2010,-72.245,41.946,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0064,,,,LT1mi2,NonTarget,,2006-2010,-71.8103,41.7034,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0065,,,,Pond,NonTarget,,2006-2010,-71.8698,41.4445,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0066,,,,LT1mi2,NonTarget,,2006-2010,-73.1154,41.5958,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0067,,,,LT1mi2,NonTarget,,2006-2010,-73.3464,41.2929,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0068,,,,LT1mi2,NonTarget,,2006-2010,-72.3166,41.9937,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0069,,,,Tidal,NonTarget,,2006-2010,-72.4191,41.4087,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0070,,,,LT1mi2,NonTarget,,2006-2010,-73.2253,41.5596,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0071,,,,LT1mi2,NonTarget,,2006-2010,-73.1945,41.9379,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0072,,,,LowGrad,Target,,2006-2010,-72.3603,41.775,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0073,,,,Pond,NonTarget,,2006-2010,-72.5397,41.4213,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0074,,,,LT1mi2,NonTarget,,2006-2010,-73.1072,41.3743,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0075,,,,LT1mi2,NonTarget,,2006-2010,-72.9355,41.8721,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0076,,,,Pond,NonTarget,,2006-2010,-71.9643,41.8501,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0077,,,,LowGrad,Target,,2006-2010,-72.887,41.5694,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0078,,,,LT1mi2,NonTarget,,2006-2010,-73.2699,41.2158,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0079,16065,S16065_2006_2010,Housatonic River,CMPLTE,Target,2,2006-2010,-73.376,41.8148,156.3568317,136.5,0.009,32550,37.6,0.755,0.7605,0.0055,0.007,1.0745,0.028,240,32,,Pass,,,,,,
CTS06621-0080,15304,S15304_2006_2010,Eagleville Brook,CMPLTE,Target,2,2006-2010,-72.2746,41.7968,156.3568317,45,0.01075,29950,101.3,0.8305,0.83125,0.003,0.01175,0.96525,0.01475,288.6666667,2,,Pass,,,,,,
CTS06621-0081,,,,Tidal,NonTarget,,2006-2010,-72.3249,41.3112,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0082,,,,LT1mi2,NonTarget,,2006-2010,-73.3014,41.4898,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0083,,,,LT1mi2,NonTarget,,2006-2010,-73.0098,41.7643,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0084,16066,S16066_2006_2010,Farmington River,CMPLTE,Target,2,2006-2010,-72.765,41.914,156.3568317,31.454625,0.032625,12900,27.34375,0.722625,0.73325,0.010625,0.13475,0.969125,0.156875,119.3333333,2.75,,Pass,,,,,,
CTS06621-0085,,,,LT1mi2,NonTarget,,2006-2010,-72.282,41.4542,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0086,,,,LT1mi2,NonTarget,,2006-2010,-73.3696,41.6806,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0087,16067,S16067_2006_2010,East Branch Naugatuck River,CMPLTE,Target,2,2006-2010,-73.1248,41.8485,156.3568317,29,0.0115,8685,17.4,0.158,0.1595,0.003,0.003,0.3195,0.0095,96,4.5,,Pass,1,,,,,
CTS06621-0088,,,,LT1mi2,NonTarget,,2006-2010,-72.5592,41.6527,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0089,,,,Pond,NonTarget,,2006-2010,-72.6863,41.3377,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0090,16068,S16068_2006_2010,West Aspetuck River,CMPLTE,Target,2,2006-2010,-73.4212,41.6203,156.3568317,98.5,0.0045,23050,15.95,0.113,0.113,0.003,0.01,0.3125,0.0215,166,15,,Pass,1,,,,,
CTS06621-0091,16069,S16069_2006_2010,West Branch Salmon Brook,CMPLTE,Target,2,2006-2010,-72.8301,41.9353,156.3568317,14.5,0.005,5315,12.65,0.3425,0.3425,0.003,0.005,0.379,0.003,78,2,,Pass,1,,,,,
CTS06621-0092,,,,LT1mi2,NonTarget,,2006-2010,-72.0918,41.7025,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0093,,,,Pond,NonTarget,,2006-2010,-72.9034,41.553,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0094,,,,LT1mi2,NonTarget,,2006-2010,-73.5065,41.1362,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0095,,,,LT1mi2,NonTarget,,2006-2010,-71.9816,41.9537,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0096,,,,LT1mi2,NonTarget,,2006-2010,-72.1809,41.8932,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0097,,,,Tidal,NonTarget,,2006-2010,-72.1014,41.3099,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0098,,,,LT1mi2,NonTarget,,2006-2010,-73.4272,41.4978,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0099,,,,LT1mi2,NonTarget,,2006-2010,-73.0395,41.7971,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0100,,,,LT1mi2,NonTarget,,2006-2010,-72.6274,41.989,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0101,16070,S16070_2006_2010,Pine Brook,CMPLTE,Target,2,2006-2010,-72.5001,41.5183,156.3568317,12,0.00667,5636.666667,17.63333333,0.179333333,0.185333333,0.007,0.002,0.352666667,0.008,77.33333333,3.333333333,,Pass,,,,,,
CTS06621-0102,,,,LT1mi2,NonTarget,,2006-2010,-73.398,41.6164,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0103,,,,LowGrad,Target,,2006-2010,-73.1525,41.7205,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0104,16071,S16071_2006_2010,Hockanum River,CMPLTE,Target,2,2006-2010,-72.551,41.7874,156.3568317,40.78425,0.05425,19225,43.8225,1.49225,1.5105,0.01825,0.13175,2.038,0.21625,219,5.25,,Fail,,,,,,BCG2
CTS06621-0105,,,,LT1mi2,NonTarget,,2006-2010,-72.6384,41.3871,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0106,,,,Pond,NonTarget,,2006-2010,-73.4773,41.4412,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0107,,,,LT1mi2,NonTarget,,2006-2010,-73.4058,41.9736,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0108,,,,LowGrad,Target,,2006-2010,-72.2826,41.7224,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0109,,,,Pond,NonTarget,,2006-2010,-73.6454,41.0735,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0110,15375,S15375_2006_2010,Aspetuck River,CMPLTE,Target,2,2006-2010,-73.36,41.1755,156.3568317,32.5,0.0105,11350,20.5,0.315,0.316,0.0025,0.0085,0.542,0.013,100,2,,Pass,,,,,,
CTS06621-0111,,,,LT1mi2,NonTarget,,2006-2010,-71.798,41.8685,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0112,,,,LowGrad,Target,,2006-2010,-72.0516,41.5558,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0113,16072,S16072_2006_2010,Trading Cove Brook,CMPLTE,Target,2,2006-2010,-72.138,41.5046,156.3568317,12,0.007,5110,10.5,0.231,0.2335,0.004,0.0065,0.4545,0.023,85,12,,Pass,1,,,,,BCG4
CTS06621-0114,,,,LT1mi2,NonTarget,,2006-2010,-73.411,41.3991,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0115,,,,LT1mi2,NonTarget,,2006-2010,-72.9511,41.7563,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0116,,,,LT1mi2,NonTarget,,2006-2010,-72.3507,41.9074,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0117,,,,NoWade,NonTarget,,2006-2010,-72.6168,41.6057,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0118,,,,LT1mi2,NonTarget,,2006-2010,-73.0221,41.4699,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0119,,,,LT1mi2,NonTarget,,2006-2010,-73.2844,41.828,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0120,,,,LowGrad,Target,,2006-2010,-72.7192,41.7249,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0121,,,,LT1mi2,NonTarget,,2006-2010,-72.8134,41.3774,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0122,16073,S16073_2006_2010,TwoMile Brook,CMPLTE,Target,2,2006-2010,-73.0592,41.3113,156.3568317,35.184,0.0205,15950,44.865,0.9175,0.922,0.0045,0.014,1.003,0.021,186,3,,Fail,,,,,,
CTS06621-0123,,,,LT1mi2,NonTarget,,2006-2010,-73.4911,41.8159,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0124,16074,S16074_2006_2010,Raymond Brook,CMPLTE,Target,2,2006-2010,-72.3441,41.6434,156.3568317,30.18725,0.01,10870,16.63,0.2615,0.2615,0.003,0.00475,0.43575,0.01075,98.5,3,,Pass,,,,,,BCG4
CTS06621-0125,,,,Pond,NonTarget,,2006-2010,-72.9172,41.6348,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0126,,,,LT1mi2,NonTarget,,2006-2010,-73.3966,41.3031,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0127,,,,LT1mi2,NonTarget,,2006-2010,-72.0373,41.9232,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0128,,,,LT1mi2,NonTarget,,2006-2010,-71.9115,41.4841,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0129,,,,LowGrad,Target,,2006-2010,-71.925,41.3997,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0130,,,,Pond,NonTarget,,2006-2010,-73.1212,41.5373,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0131,,,,LT1mi2,NonTarget,,2006-2010,-73.2826,41.2652,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0132,,,,LT1mi2,NonTarget,,2006-2010,-72.5708,42.0253,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0133,,,,LT1mi2,NonTarget,,2006-2010,-72.2852,41.5346,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0134,,,,LT1mi2,NonTarget,,2006-2010,-73.1956,41.6662,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0135,,,,LT1mi2,NonTarget,,2006-2010,-73.2406,41.9301,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0136,,,,LT1mi2,NonTarget,,2006-2010,-72.3988,41.9398,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0137,,,,LT1mi2,NonTarget,,2006-2010,-72.5185,41.4711,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0138,,,,NoWade,NonTarget,,2006-2010,-73.1232,41.3425,156.3568317,,,,,,,,,,,,,,,,,,,,
CTS06621-0139,16075,S16075_2006_2010,Morgan Brook,CMPLTE,Target,2,2006-2010,-73.027,41.9048,156.3568317,14.5,0.006,5100,9.26,0.067,0.067,0.003,0.007,0.187,0.009,37,2.5,,Pass,1,,,,,
